Title,URL,drunkscale,RunTime,Author
The Shining,films/shining.html,5.5,2h 24m,Bill/Joe
Shooter,films/shooter.html,5.5,2h 04m,Alcolawl
Shrek,films/shrek.html,6,1h 35m,Joe
Signs,films/signs.html,6,1h 47m,Alcolawl/Joe
Sinister,films/sinister.html,6,1h 50m,Joe
The Sixth Sense,films/sixthsense.html,5.5,1h 50m,Bill
Source Code,films/sourcecode.html,5,1h 33m,Alcolawl
Space Jam,films/spacejam.html,5.5,1h 22m,Bill
Speed,films/speed.html,6,1h 56m,Alcolawl
Starsky and Hutch,films/starskyhutch.html,5,1h 41m,Alcolawl
Star Trek (2009),films/startrek.html,5.5,2h 07m,Alcolawl
Superbad,films/superbad.html,5,1h 53m,Alcolawl
Taken,films/taken.html,5,1h 33m,Team D2M
Taken 2,films/taken2.html,5,1h 32m,Team D2M
Talladega Nights: The Ballad of Ricky Bobby,films/talladeganights.html,5.5,2h 02m,Joe
Tarzan,films/tarzan.html,7,1h 22m,Joe
Ted,films/ted.html,6,1h 46m,Team D2M
Teenage Mutant Ninja Turtles: The Movie,films/tmnt.html,7,1h 41m,Joe
Terminator 3: Rise of the Machines,films/terminator3.html,6,1h 49m,Alcolawl
Texas Chainsaw Massacre (2003),films/texaschainsawmassacre.html,4.5,1h 38m,Joe
That's My Boy,films/thatsmyboy.html,5,1h 54m,Duff
This Is The End,films/thisistheend.html,6,1h 47m,Alcolawl
Thor,films/thor.html,5.5,1h 55m,Team D2M
Thor: The Dark World,films/thor2.html,5,1h 52m,Team D2M
Total Recall (2012),films/totalrecallremake.html,5.5,2h 15m,Alcolawl
The Town,films/town.html,5.5,2h 25m,Team D2M
Training Day,films/trainingday.html,5,2h 03m,Alcolawl
Transporter 2,films/transporter2.html,5,1h 27m,Joe
Tron: Legacy,films/tron.html,4.5,2h 07m,Alcolawl
Tropic Thunder,films/tropicthunder.html,4.5,2h 01m,Team D2M
Troy,films/troy.html,7,2h 43m,Joe
Twister,films/twister.html,5.5,1h 53m,Alcolawl
Undercover Brother,films/undercoverbrother.html,6,1h 28m,Duff
Vacancy,films/vacancy.html,4,1h 25m,Bill/Joe
Van Wilder,films/vanwilder.html,5,1h 34m,Alcolawl
V for Vendetta,films/vforvendetta.html,5.5,2h 13m,Joe
The Village,films/village.html,5,1h 49m,Joe
Warm Bodies,films/warmbodies.html,5,1h 38m,Joe
The Warriors,films/warriors.html,6,1h 33m,Joe
The Watch,films/thewatch.html,6,1h 43m,Alcolawl
Wedding Crashers,films/weddingcrashers.html,6,2h 08m,Joe
We Own The Night,films/weownthenight.html,5.5,1h 58m,Bill
We Were Soldiers,films/weweresoldiers.html,7,2h 23m,Alcolawl
Windtalkers,films/windtalkers.html,6.5,2h 15m,Alcolawl
The Wolf of Wall Street,films/wolfofwallstreet.html,6.5,3h 00m,Alcolawl
World's End,films/worldsend.html,5,1h 49m,Duff
World War Z,films/worldwarz.html,6.5,1h 56m,Bill
X-Men,films/xmen.html,6,1h 44m,Bill/Joe
X-Men 2,films/xmen2.html,6,2h 14m,Bill/Joe
You're Next,films/yourenext.html,5,1h 36m,Alcolawl
Zombieland,films/zombroland.html,5.5,1h 28m,Team D2M
Zoolander,films/zoolander.html,6.5,1h 29m,Team D2M
